addr	name	size	rtti_classes	format_magics	api_calls	key_strings
140001000	FUN_140001000	118				
140001080	FUN_140001080	118				
140001100	FUN_140001100	25				
140001120	FUN_140001120	32				
140001140	FUN_140001140	32				
140001160	FUN_140001160	32				
1400011b0	FUN_1400011b0	118				
140001230	FUN_140001230	118				
1400012b0	FUN_1400012b0	118				
140001330	FUN_140001330	267	FUN_140001330			
140001440	FUN_140001440	118				
1400014c0	FUN_1400014c0	32				
140001570	FUN_140001570	204	FUN_140001570			
140001640	FUN_140001640	2075	FUN_140001640			
140001e80	FUN_140001e80	118				
140001f00	FUN_140001f00	118				
140001f80	FUN_140001f80	118				
140002050	FUN_140002050	273	FUN_140002050			
140002170	FUN_140002170	1648	FUN_140002170			
1400027f0	FUN_1400027f0	25				
140002810	FUN_140002810	32				
140002830	FUN_140002830	39				
140002860	FUN_140002860	6849	FUN_140002860			
140004340	FUN_140004340	25				
140004360	FUN_140004360	25				
140004380	FUN_140004380	25				
1400043a0	FUN_1400043a0	292	FUN_1400043a0			
1400044e0	FUN_1400044e0	25				
140004500	FUN_140004500	25				
140004520	FUN_140004520	25				
140004540	FUN_140004540	482	FUN_140004540			
140004730	FUN_140004730	25				
140004750	FUN_140004750	25				
140004770	FUN_140004770	25				
140004790	FUN_140004790	25				
1400047b0	FUN_1400047b0	25				
1400047d0	FUN_1400047d0	25				
1400047f0	FUN_1400047f0	25				
140004810	FUN_140004810	25				
140004830	FUN_140004830	25				
140004850	FUN_140004850	32				
140004870	FUN_140004870	25				
1400048a0	FUN_1400048a0	80	FUN_1400048a0			
140004910	FUN_140004910	59	FUN_140004910			
140004950	FUN_140004950	435	FUN_140004950			
140004b50	FUN_140004b50	32				
140004b70	FUN_140004b70	170	DLL;FUN_140004b70			
140004c20	FUN_140004c20	170	DLL;FUN_140004c20			
140004ce0	FUN_140004ce0	32				
140004d00	FUN_140004d00	2467	FUN_140004d00;s_in_Json;switchD_140005063			
1400056d0	FUN_1400056d0	181				
140005790	FUN_140005790	228	DLL;FUN_140005790			
140005880	FUN_140005880	225	DLL;FUN_140005880			
140005970	FUN_140005970	465	FUN_140005970			
140005b50	FUN_140005b50	181				
140005c10	FUN_140005c10	55				
140005c50	FUN_140005c50	23				
140005c70	FUN_140005c70	15				
140005c80	FUN_140005c80	160	FUN_140005c80			
140005d20	FUN_140005d20	432	DLL;FUN_140005d20			
140005ed0	thunk_FUN_140016770	5				
140005ee0	FUN_140005ee0	377	FUN_140005ee0			
140006060	FUN_140006060	150	FUN_140006060			
140006100	FUN_140006100	525	DLL;FUN_140006100		GetProcAddress;LoadLibraryW	
140006310	FUN_140006310	1682	DLL;FUN_140006310		GetProcAddress;LoadLibraryW	
1400069b0	FUN_1400069b0	1408	DLL;FUN_1400069b0			
140006f30	FUN_140006f30	1754	DLL;FUN_140006f30		GetProcAddress;LoadLibraryW	
140007610	FUN_140007610	134	DLL		GetProcAddress;LoadLibraryW	
1400076a0	FUN_1400076a0	129	DLL;FUN_1400076a0			
140007730	FUN_140007730	970	DLL;FUN_140007730			config.json
140007b00	FUN_140007b00	81	DLL;FUN_140007b00			
140007b60	FUN_140007b60	730	DLL;FUN_140007b60			
140007e40	FUN_140007e40	1066	DLL;FUN_140007e40		D3D11CreateDevice	
140008270	FUN_140008270	8062	DLL;FUN_140008270;switchD_14000a0ca		CreateNamedPipeW	
14000a220	FUN_14000a220	10090	DLL;FUN_14000a220			
14000c990	FUN_14000c990	558				
14000cbc0	FUN_14000cbc0	541				
14000cde0	FUN_14000cde0	552				
14000d010	FUN_14000d010	101	FUN_14000d010			
14000d080	FUN_14000d080	98	FUN_14000d080			
14000d0f0	FUN_14000d0f0	76				
14000d140	FUN_14000d140	768	FUN_14000d140			
14000d440	FUN_14000d440	544	FUN_14000d440			
14000d660	FUN_14000d660	782	FUN_14000d660			
14000d970	FUN_14000d970	111	FUN_14000d970			
14000d9e0	FUN_14000d9e0	104				
14000da50	FUN_14000da50	118	FUN_14000da50			
14000dad0	FUN_14000dad0	136	FUN_14000dad0			
14000db60	FUN_14000db60	190	FUN_14000db60			
14000dc20	FUN_14000dc20	154	FUN_14000dc20			
14000dcc0	FUN_14000dcc0	142	FUN_14000dcc0			
14000dd50	FUN_14000dd50	17				
14000dd70	FUN_14000dd70	68	FUN_14000dd70			
14000ddc0	thunk_FUN_14000f880	5				
14000ddd0	FUN_14000ddd0	48	FUN_14000ddd0			
14000de00	FUN_14000de00	50				
14000de40	FUN_14000de40	146	FUN_14000de40			
14000dee0	FUN_14000dee0	156				
14000df80	FUN_14000df80	610	FUN_14000df80			
14000e1f0	FUN_14000e1f0	304	FUN_14000e1f0			
14000e320	FUN_14000e320	434	FUN_14000e320			
14000e5b0	FUN_14000e5b0	554	FUN_14000e5b0			
14000e7e0	FUN_14000e7e0	258				
14000e8f0	FUN_14000e8f0	396	FUN_14000e8f0			
14000ea80	FUN_14000ea80	396	FUN_14000ea80			
14000ec10	FUN_14000ec10	30				
14000ec30	_guard_check_icall	3				
14000ec40	FUN_14000ec40	3				
14000ec50	FUN_14000ec50	4				
14000ec60	FUN_14000ec60	25				
14000ec80	FUN_14000ec80	207	FUN_14000ec80			
14000ed50	FUN_14000ed50	207	FUN_14000ed50			
14000ee20	FUN_14000ee20	63				
14000ee70	FUN_14000ee70	148				
14000ef10	FUN_14000ef10	294	FUN_14000ef10			
14000f040	FUN_14000f040	59	FUN_14000f040			
14000f080	FUN_14000f080	52	FUN_14000f080			
14000f0c0	FUN_14000f0c0	175	FUN_14000f0c0			
14000f170	FUN_14000f170	99	FUN_14000f170			
14000f1e0	FUN_14000f1e0	99	FUN_14000f1e0			
14000f250	FUN_14000f250	124	FUN_14000f250			
14000f2d0	FUN_14000f2d0	62	FUN_14000f2d0			
14000f310	FUN_14000f310	59	FUN_14000f310			
14000f350	FUN_14000f350	175	FUN_14000f350			
14000f400	FUN_14000f400	72				
14000f450	FUN_14000f450	612	FUN_14000f450			
14000f6c0	FUN_14000f6c0	267				
14000f7d0	FUN_14000f7d0	164	FUN_14000f7d0			
14000f880	FUN_14000f880	354	FUN_14000f880			
14000f9f0	FUN_14000f9f0	533	FUN_14000f9f0			
14000fc10	FUN_14000fc10	113	FUN_14000fc10			
14000fc90	FUN_14000fc90	634	FUN_14000fc90			
14000ff10	FUN_14000ff10	10				
14000ff20	FUN_14000ff20	127	FUN_14000ff20			
14000ffa0	FUN_14000ffa0	10				
14000ffb0	FUN_14000ffb0	371	FUN_14000ffb0			
140010130	FUN_140010130	148	FUN_140010130			
1400101d0	FUN_1400101d0	791	FUN_1400101d0			
1400104f0	FUN_1400104f0	787	FUN_1400104f0			
140010810	FUN_140010810	293	FUN_140010810			
140010940	FUN_140010940	293	FUN_140010940			
140010a70	FUN_140010a70	286	FUN_140010a70			
140010b90	FUN_140010b90	286	FUN_140010b90			
140010cb0	FUN_140010cb0	806	FUN_140010cb0			
140010fe0	FUN_140010fe0	144	FUN_140010fe0			
140011070	FUN_140011070	43				
1400110a0	FUN_1400110a0	208	FUN_1400110a0			
140011170	FUN_140011170	159	DLL;FUN_140011170			
140011220	FUN_140011220	1740	FUN_140011220			
1400118f0	FUN_1400118f0	548	FUN_1400118f0			
140011b20	FUN_140011b20	69	FUN_140011b20			
140011b70	FUN_140011b70	69	FUN_140011b70			
140011bc0	FUN_140011bc0	69	FUN_140011bc0			
140011c10	FUN_140011c10	5				
140011c20	FUN_140011c20	5				
140011c30	FUN_140011c30	798	FUN_140011c30			
140011f50	FUN_140011f50	354	FUN_140011f50			
1400120c0	FUN_1400120c0	165	FUN_1400120c0			
140012170	FUN_140012170	1624	FUN_140012170			
1400127d0	FUN_1400127d0	363	FUN_1400127d0			
140012940	FUN_140012940	16				
140012960	FUN_140012960	145				
140012a00	FUN_140012a00	221	FUN_140012a00			
140012ae0	FUN_140012ae0	149	FUN_140012ae0			
140012b80	FUN_140012b80	192				
140012c40	FUN_140012c40	94	FUN_140012c40			
140012ca0	FUN_140012ca0	657	FUN_140012ca0			
140012f40	FUN_140012f40	156				
140012fe0	FUN_140012fe0	103				
140013050	FUN_140013050	16				
140013070	FUN_140013070	181	FUN_140013070			
140013130	FUN_140013130	203	FUN_140013130			
140013200	FUN_140013200	112				
140013270	FUN_140013270	108	FUN_140013270			
1400132e0	FUN_1400132e0	418	FUN_1400132e0			
140013490	FUN_140013490	108	FUN_140013490			
140013500	FUN_140013500	701	FUN_140013500			
1400137c0	FUN_1400137c0	91	FUN_1400137c0			
140013870	FUN_140013870	95	FUN_140013870			
1400138d0	FUN_1400138d0	53				
140013910	FUN_140013910	37				
140013940	FUN_140013940	43				
140013970	FUN_140013970	188	FUN_140013970			
140013a30	FUN_140013a30	33				
140013a60	FUN_140013a60	8				
140013a70	FUN_140013a70	164	FUN_140013a70			
140013b20	FUN_140013b20	17				
140013b50	FUN_140013b50	104	FUN_140013b50;s_ios_base			
140013bc0	`scalar_deleting_destructor'	106				
140013c30	FUN_140013c30	72	FUN_140013c30			
140013c80	FUN_140013c80	14				
140013c90	FUN_140013c90	72	FUN_140013c90			
140013ce0	FUN_140013ce0	14				
140013cf0	FUN_140013cf0	29				
140013d10	FUN_140013d10	4				
140013d20	FUN_140013d20	31				
140013d40	FUN_140013d40	557	FUN_140013d40			
140013f70	FUN_140013f70	52				
140013fe0	FUN_140013fe0	92	FUN_140013fe0			
140014040	FUN_140014040	27				
140014060	FUN_140014060	73				
1400140b0	FUN_1400140b0	34				
1400140e0	FUN_1400140e0	73				
140014130	FUN_140014130	74	FUN_140014130			
140014180	FUN_140014180	15				
140014190	FUN_140014190	74	FUN_140014190			
1400141e0	FUN_1400141e0	15				
1400141f0	FUN_1400141f0	153	FUN_1400141f0			
140014290	FUN_140014290	145	FUN_140014290			
140014330	FUN_140014330	58	FUN_140014330			
140014370	FUN_140014370	111	FUN_140014370			
1400143e0	FUN_1400143e0	35				
140014410	FUN_140014410	146	FUN_140014410			
