# C++ class/method/RTTI/vtable hints (std::, ::, vftable, operator, etc.)
# total matches: 175 (incl. duplicates) | unique: 174
# column 1: encoding (A=ASCII, U=UTF-16LE)  column 2: file offset  column 3: string

A 0x00425c40  Unknown exception
A 0x00425d10  bad function call
A 0x00425dc0  regex_error(error_collate): The expression contained an invalid collating element name.
A 0x00425e20  regex_error(error_ctype): The expression contained an invalid character class name.
A 0x00425e80  regex_error(error_escape): The expression contained an invalid escaped character, or a trailing escape.
A 0x00425ef0  regex_error(error_backref): The expression contained an invalid back reference.
A 0x00425f40  regex_error(error_brack): The expression contained mismatched [ and ].
A 0x00425f90  regex_error(error_paren): The expression contained mismatched ( and ).
A 0x00425fe0  regex_error(error_brace): The expression contained mismatched { and }.
A 0x00426030  regex_error(error_badbrace): The expression contained an invalid range in a {} expression.
A 0x00426090  regex_error(error_range): The expression contained an invalid character range, such as [b-a] in most encodings.
A 0x00426100  regex_error(error_space): There was insufficient memory to convert the expression into a finite state machine.
A 0x00426170  regex_error(error_badrepeat): One of *?+{ was not preceded by a valid regular expression.
A 0x004261d0  regex_error(error_complexity): The complexity of an attempted match against a regular expression exceeded a pre-set level.
A 0x00426250  regex_error(error_stack): There was insufficient memory to determine whether the regular expression could match the specified character sequence.
A 0x004262e8  regex_error(error_parse)
A 0x00426308  regex_error(error_syntax)
A 0x00426328  regex_error
A 0x00429118  argument list too long
A 0x004292b0  function not supported
A 0x00429ec8  bad exception
A 0x0042ba40  __cdecl
A 0x0042ba58  __thiscall
A 0x0042ba68  __fastcall
A 0x0042ba78  __vectorcall
A 0x0042bba8  `vftable'
A 0x0042bbb8  `vbtable'
A 0x0042bc20  `vector deleting destructor'
A 0x0042bc80  `vector constructor iterator'
A 0x0042bca0  `vector destructor iterator'
A 0x0042bcc0  `vector vbase constructor iterator'
A 0x0042bce8  `virtual displacement map'
A 0x0042bd08  `eh vector constructor iterator'
A 0x0042bd30  `eh vector destructor iterator'
A 0x0042bd50  `eh vector vbase constructor iterator'
A 0x0042bdac  `RTTI
A 0x0042bdb8  `local vftable'
A 0x0042bdc8  `local vftable constructor closure'
A 0x0042be58  `managed vector constructor iterator'
A 0x0042be80  `managed vector destructor iterator'
A 0x0042bea8  `eh vector copy constructor iterator'
A 0x0042bed0  `eh vector vbase copy constructor iterator'
A 0x0042bf48  `vector copy constructor iterator'
A 0x0042bf70  `vector vbase copy constructor iterator'
A 0x0042bfa0  `managed vector copy constructor iterator'
A 0x0042bfd0  `local static thread guard'
A 0x0042bff0  operator "" 
A 0x0042c000  operator co_await
