# Strings containing error / fail / invalid / missing / cannot / etc.
# total matches: 199 (incl. duplicates) | unique: 198
# column 1: encoding (A=ASCII, U=UTF-16LE)  column 2: file offset  column 3: string

A 0x00429288  file too large
A 0x00429298  filename too long
A 0x00429348  invalid argument
A 0x00429360  invalid seek
A 0x00429370  io error
A 0x00429490  no such device or address
A 0x004294b0  no such device
A 0x004294c0  no such file or directory
A 0x004294e0  no such process
A 0x004295e0  permission denied
A 0x004295f8  protocol error
A 0x00429678  result out of range
A 0x004296a8  stream timeout
A 0x004296c8  timed out
A 0x00429740  value too large
A 0x00429768  unknown error
A 0x004518c0  invalid distance too far back
A 0x004518e0  invalid distance code
A 0x004518f8  invalid literal/length code
A 0x00451950  invalid window size
A 0x004519a0  invalid block type
A 0x004519b8  invalid stored block lengths
A 0x00451a00  invalid code lengths set
A 0x00451a20  invalid bit length repeat
A 0x00451a40  invalid code -- missing end-of-block
A 0x00451a68  invalid literal/lengths set
A 0x00451a88  invalid distances set
A 0x0046f5b0  buffer verify error: clusters are not monotone.
A 0x0046f5e0  buffer verify error: unsafe-to-break test failed.
A 0x0046f618  buffer verify error: unsafe-to-concat test failed.
A 0x0046f650  buffer verify error: text was: %s.
A 0x004725b8  Failed reading user name, error: %i
A 0x00472850  core_msgboxtitle_error
A 0x004728e8  core_msgbox_aero_denied
A 0x00472900  core_msgbox_aero_failure
A 0x00472c80  Failed to terminate existing process without window. STARTING ANYWAY.
A 0x00472d00  core_msgbox_init_secondinstance_failed
A 0x00472dc8  unordered_map/set too long
A 0x00472de8  invalid hash bucket count
A 0x00472e68  iostream stream error
A 0x00473108  vector too long
A 0x00473130  system error
A 0x00473268  invalid string position
A 0x00473288  string too long
A 0x00473818  Unable to create window
A 0x00473e50  core_balloon_video_error
A 0x00473e80  core_balloon_app_error
A 0x00473e98  core_balloon_pkg_version_error
A 0x00473eb8  core_balloon_wallpaper_file_missing
A 0x00475748  No error.
A 0x004757a8  Invalid value.
A 0x004757b8  Missing a name for object member.
A 0x004757e0  Missing a colon after a name of object member.
A 0x00475810  Missing a comma or '}' after an object member.
A 0x00475840  Missing a comma or ']' after an array element.
A 0x004758a0  The surrogate pair in string is invalid.
A 0x004758d0  Invalid escape character in string.
A 0x004758f8  Missing a closing quotation mark in string.
A 0x00475928  Invalid encoding in string.
A 0x004759b0  Terminate parsing due to Handler error.
A 0x004759d8  Unspecific syntax error.
A 0x004759f8  Unknown error.
A 0x00475a38  Config.json error: %s
A 0x00476428  Cannot load plugin %s, %i.
A 0x004765b0  Error loading library %S (%i).
A 0x00476a38  fade error:
A 0x00477150  deque<T> too long
A 0x004771f0  Missing file. Try reinstalling to fix this!
A 0x004772e0   (Windows error "
A 0x00477300  Failed to create process: 
A 0x00477390  in Json::Value::duplicateAndPrefixStringValue(): Failed to allocate string value buffer
A 0x004773f0  in Json::Value::duplicateStringValue(): Failed to allocate string value buffer
A 0x00478090  wuffs_aux::DecodeImage: unsupported image format
A 0x004780c8  wuffs_aux::DecodeImage: unsupported metadata
A 0x004780f8  wuffs_aux::DecodeImage: unsupported pixel blend
A 0x00478128  wuffs_aux::DecodeImage: unsupported pixel format
A 0x00478160  wuffs_aux::DecodeImage: buffer is too short
A 0x00478238  wuffs_aux::DecodeImage: unsupported pixel configuration
