# File extensions referenced in the binary (asset / shader / config types)
# total matches: 127 (incl. duplicates) | unique: 122
# column 1: encoding (A=ASCII, U=UTF-16LE)  column 2: file offset  column 3: string

A 0x0042b0b0  MF.dll
A 0x0042b0c0  MFPlat.DLL
A 0x00435230  pdh.dll
A 0x004725f0  config.json
A 0x00472658  apputil32.exe
A 0x00472728  wallpaper32.exe
A 0x00472738  wallpaper64.exe
A 0x00473768  installer.exe
A 0x004738d8  bin/wallpaperui.exe
A 0x00473b18  Microsoft/Windows/Themes/WallpaperEngineOverride.jpg
A 0x00473b50  Microsoft/Windows/Themes/WallpaperEngineLockOverride.jpg
A 0x00475a38  Config.json error: %s
A 0x00475b14  .json
A 0x00476998  .vert
A 0x004769a8  .frag
A 0x00476aa0  assets/materials/util/noise.png
A 0x00476ac0  assets/materials/util/clouds_256.png
A 0x00476e78  project.json
A 0x00476ea0  bin/playliststate.bin
A 0x00476ec8  bin/playliststatetime.bin
A 0x00477220  wallpaperui.exe
A 0x00484940  materials/util/backbufferpassthrough.json
A 0x004855d0  DirectX compiler cannot be found, d3dcompiler_47.dll is missing.
A 0x004856e0  shaders/HLSL/dx11fallback.frag
A 0x00485700  shaders/HLSL/dx11fallback.vert
A 0x004878f8  .webm
A 0x00488100  gifscene.json
A 0x00488140  materials/background.gif
A 0x004887a8  bin/edgewallpaper64.exe
A 0x00488850  bin/webwallpaper64.exe
A 0x00488b10  assets/scenes/videoplayer/scene.json
A 0x00488b48  materials/background.json
A 0x00489608  .html
A 0x00489640  .jpeg
A 0x0048a448  materials/util/shadowcaster.json
A 0x0048ce00  materials/util/combine_dhdr_upsample.json
A 0x0048ce70  materials/util/combine_srgb.json
A 0x0048ce98  materials/util/combine_video_hdr.json
A 0x0048cec0  materials/util/combine_ldr.json
A 0x0048cee0  materials/util/combine_hdr_upsample.json
A 0x0048cf10  materials/util/hdr_upsample_cubic.json
A 0x0048cf38  materials/util/hdr_upsample.json
A 0x0048cf60  materials/util/hdr_downsample_bloom.json
A 0x0048cf90  materials/util/hdr_downsample.json
A 0x0048cfd0  materials/util/blur_h_bloom.json
A 0x0048cff8  materials/util/downsample_eighth_blur_v.json
A 0x0048d028  materials/util/downsample_quarter_bloom.json
A 0x0048d058  materials/util/downsample_quarter.json
A 0x0048d080  materials/util/downsample_quarter_linear.json
A 0x0048d108  materials/util/fade.json
A 0x0048d148  materials/util/ccsimple.json
A 0x0048d1e0  materials/util/compiler_backdrop.json
A 0x0048d478  materials/util/volumetrics_combine.json
A 0x0048d4a0  materials/util/volumetrics_blur_v.json
A 0x0048d4c8  materials/util/volumetrics_blur_h.json
A 0x0048dd08  arial.ttf
A 0x0048dd38  calibri.ttf
A 0x0048dd80  comic.ttf
A 0x0048de18  segoeui.ttf
A 0x0048de30  consola.ttf
A 0x0048de68  micross.ttf
A 0x0048dea0  seguiemj.ttf
A 0x0048deb0  arialuni.ttf
A 0x0048ded8  verdana.ttf
A 0x0048df30  materials/fonts/basefont_msdf_depth.json
A 0x0048df60  fonts/TwemojiMozilla.ttf
A 0x0048df80  seguisym.ttf
A 0x0048dfa0  Malgun.ttf
A 0x0048dfb0  materials/fonts/basefontrgba_msdf.json
A 0x0048dfd8  materials/fonts/basefontrgba_depth.json
A 0x0048e000  materials/fonts/basefontrgba.json
A 0x0048e028  materials/fonts/basefont_msdf.json
A 0x0048e050  materials/fonts/basefont_depth.json
A 0x0048e078  materials/fonts/basefont.json
A 0x0048e098  materials/fonts/basefontrgba_msdf_depth.json
A 0x0048f5d0  materials/util/effectpassthrough_4.json
A 0x0048f5f8  materials/util/effectpassthrough.json
A 0x0048fb08  materials/util/flattexture.json
A 0x0048fb90  materials/util/fullscreenlayer.json
A 0x0048fbb8  materials/util/clippingmaskimage4.json
A 0x00490458  materials/util/occlusiontest.json
A 0x00490528  materials/fonts/fontbackground_depth.json
A 0x00490558  materials/fonts/fontbackground.json
A 0x00490580  materials/util/composelayer_clearalpha.json
A 0x004908a0  materials/util/volumetrics_fullscreen.json
A 0x004908f0  materials/util/volumetrics_back.json
A 0x00490970  materials/util/volumetrics_front.json
A 0x00491130  resourcecompiler64.exe
A 0x00491148  .tex-json
A 0x004d8c98  KERNEL32.dll
A 0x004d941e  USER32.dll
A 0x004d94f2  GDI32.dll
A 0x004d9570  SHELL32.dll
A 0x004d95f8  ole32.dll
A 0x004d96f6  ADVAPI32.dll
A 0x004d9718  d3d11.dll
A 0x004d9754  dwmapi.dll
A 0x004d9782  WINMM.dll
A 0x004d97d2  WTSAPI32.dll
A 0x004d97e0  SHLWAPI.dll
A 0x004d9830  MFReadWrite.dll
A 0x004d9fa0  DWrite.dll
U 0x0042d4c8  mscoree.dll
U 0x00435236  lKERNEL32.DLL
U 0x0047109e  ePsapi.dll
U 0x004710d0  kernel32.dll
U 0x00471438  vhook.dll
U 0x00472000  overlay.x86.dll
U 0x00472020  overlay.x64.dll
U 0x00472438  steammdmp64.dll
U 0x004724b8  DBGHELP.DLL
U 0x00472c00  wallpaper64.exe -control aws
U 0x00473ab0  uxtheme.dll
U 0x00473b90  winrtutil64.exe
U 0x004768a0  d3dcompiler_47.dll
U 0x004768e8  cloneextensions64.dll
U 0x00476f6e  1resourceutil64.dll
U 0x00484918  log.txt
U 0x00485290  mediaextensions64.dll
U 0x004852d8  scenescript64.dll
U 0x00485f18  mfplat.dll
U 0x00487440  mfreadwrite.dll
