# Magic words / chunk ids (PKGV, TEX, MDL, BCn, DXTn, KTX, glTF, etc.)
# total matches: 22 (incl. duplicates) | unique: 21
# column 1: encoding (A=ASCII, U=UTF-16LE)  column 2: file offset  column 3: string

A 0x001b3cf2  L95G93
A 0x004769d8  TEXCOORD
A 0x00476eb8  PLPV0005
A 0x00483b80  MDLVS001
A 0x00485748  SHDV0069
A 0x00485f08  SHTC0001
A 0x0048a6e0  TEXS0003
A 0x0048a6f0  TEXB0004
A 0x0048a700  TEXI0001
A 0x0048a710  TEXV0005
A 0x0048a730  TEXV0004
A 0x0048ef28  TEX0FORMAT
A 0x0048f260  LSBK0001
A 0x0048fa60  PUED0002
A 0x00490ef0  MDLA0006
A 0x00490f00  MDAT0001
A 0x00490f10  MDMP0001
A 0x00490f20  MDLE0002
A 0x00490f30  MDLS0004
A 0x00491118  MDLV0023
A 0x00492359  BC1%M
