# Likely scene.json / project.json keys (camelCase identifiers, 3-28 chars)
# total matches: 1457 (incl. duplicates) | unique: 1133
# column 1: encoding (A=ASCII, U=UTF-16LE)  column 2: file offset  column 3: string
# NOTE: restricted to file-offset range 0x424e00..0x4da000 (data/read-only sections)

A 0x004290b0  success
A 0x00429338  interrupted
A 0x0042adf3  raB3G
A 0x0042ccf5  obwQ4
A 0x00435620  truetype
A 0x00435630  kerning
A 0x0043567c  type42
A 0x00437840  adnKooaLntaL
A 0x00437854  usiLmylMfdeMgnoMrmyMookN
A 0x00439f10  autofitter
A 0x0043b850  isFixedPitch
A 0x0043b8a4  lenIV
A 0x0043b8c0  password
A 0x0043baf8  closefile
A 0x0043bb18  pshinter
A 0x0043ded8  lenBuildCharArray
A 0x0043ea10  winfonts
A 0x00440746  nonmarkingreturn
A 0x00440757  notequal
A 0x00440760  infinity
A 0x00440769  lessequal
A 0x00440773  greaterequal
A 0x00440780  partialdiff
A 0x0044078c  summation
A 0x00440796  product
A 0x004407a1  integral
A 0x004407b0  radical
A 0x004407b8  approxequal
A 0x004407ca  nonbreakingspace
A 0x004407db  lozenge
A 0x004407f6  gbreve
A 0x00440811  scedilla
A 0x00440821  cacute
A 0x0044082f  ccaron
A 0x00440836  dcroat
A 0x0044084b  exclam
A 0x00440852  quotedbl
A 0x0044085b  numbersign
A 0x00440866  dollar
A 0x0044086d  percent
A 0x00440875  ampersand
A 0x0044087f  quoteright
A 0x0044088a  parenleft
A 0x00440894  parenright
A 0x0044089f  asterisk
A 0x004408b3  hyphen
A 0x004408ba  period
A 0x004408ff  semicolon
A 0x00440914  greater
A 0x0044091c  question
A 0x0044095c  bracketleft
A 0x00440968  backslash
A 0x00440972  bracketright
A 0x0044097f  asciicircum
A 0x0044098b  underscore
A 0x00440996  quoteleft
A 0x004409d4  braceleft
A 0x004409e2  braceright
A 0x004409ed  asciitilde
A 0x004409f8  exclamdown
A 0x00440a08  sterling
A 0x00440a11  fraction
A 0x00440a1e  florin
A 0x00440a25  section
A 0x00440a2d  currency
A 0x00440a36  quotesingle
A 0x00440a42  quotedblleft
A 0x00440a4f  guillemotleft
A 0x00440a5d  guilsinglleft
A 0x00440a6b  guilsinglright
A 0x00440a80  endash
A 0x00440a87  dagger
A 0x00440a8e  daggerdbl
A 0x00440a98  periodcentered
A 0x00440aa7  paragraph
A 0x00440ab1  bullet
A 0x00440ab8  quotesinglbase
A 0x00440ac7  quotedblbase
A 0x00440ad4  quotedblright
A 0x00440ae2  guillemotright
A 0x00440af1  ellipsis
A 0x00440afa  perthousand
A 0x00440b06  questiondown
A 0x00440b1f  circumflex
A 0x00440b30  macron
A 0x00440b3d  dotaccent
A 0x00440b47  dieresis
A 0x00440b55  cedilla
A 0x00440b5d  hungarumlaut
A 0x00440b6a  ogonek
A 0x00440b77  emdash
A 0x00440b81  ordfeminine
A 0x00440b9e  ordmasculine
A 0x00440bae  dotlessi
A 0x00440bb7  lslash
A 0x00440bbe  oslash
A 0x00440bc8  germandbls
A 0x00440bd3  onesuperior
A 0x00440bdf  logicalnot
A 0x00440bed  trademark
A 0x00440bfb  onehalf
A 0x00440c03  plusminus
A 0x00440c13  onequarter
A 0x00440c1e  divide
A 0x00440c25  brokenbar
A 0x00440c2f  degree
A 0x00440c3c  threequarters
A 0x00440c4a  twosuperior
A 0x00440c56  registered
A 0x00440c6b  multiply
A 0x00440c74  threesuperior
A 0x00440c82  copyright
A 0x00440d83  aacute
A 0x00440d8a  acircumflex
A 0x00440d96  adieresis
A 0x00440da0  agrave
A 0x00440dad  atilde
A 0x00440db4  ccedilla
A 0x00440dbd  eacute
A 0x00440dc4  ecircumflex
A 0x00440dd0  edieresis
A 0x00440dda  egrave
A 0x00440de1  iacute
A 0x00440de8  icircumflex
A 0x00440df4  idieresis
A 0x00440dfe  igrave
A 0x00440e05  ntilde
A 0x00440e0c  oacute
A 0x00440e13  ocircumflex
A 0x00440e1f  odieresis
A 0x00440e29  ograve
A 0x00440e30  otilde
A 0x00440e37  scaron
A 0x00440e3e  uacute
A 0x00440e45  ucircumflex
A 0x00440e51  udieresis
A 0x00440e5b  ugrave
A 0x00440e62  yacute
A 0x00440e69  ydieresis
A 0x00440e73  zcaron
A 0x00440e7a  exclamsmall
A 0x00440e98  dollaroldstyle
A 0x00440ea7  dollarsuperior
A 0x00440eb6  ampersandsmall
A 0x00440ed0  parenleftsuperior
A 0x00440ee2  parenrightsuperior
A 0x00440ef5  twodotenleader
A 0x00440f04  onedotenleader
A 0x00440f13  zerooldstyle
A 0x00440f20  oneoldstyle
A 0x00440f2c  twooldstyle
A 0x00440f38  threeoldstyle
A 0x00440f46  fouroldstyle
A 0x00440f53  fiveoldstyle
A 0x00440f60  sixoldstyle
A 0x00440f6c  sevenoldstyle
A 0x00440f7a  eightoldstyle
A 0x00440f88  nineoldstyle
A 0x00440f95  commasuperior
A 0x00440fa3  threequartersemdash
A 0x00440fb7  periodsuperior
A 0x00440fc6  questionsmall
A 0x00440fd4  asuperior
A 0x00440fde  bsuperior
A 0x00440fe8  centsuperior
A 0x00440ff5  dsuperior
A 0x00440fff  esuperior
A 0x00441009  isuperior
A 0x00441013  lsuperior
A 0x0044101d  msuperior
A 0x00441027  nsuperior
A 0x00441031  osuperior
A 0x0044103b  rsuperior
A 0x00441045  ssuperior
A 0x0044104f  tsuperior
A 0x00441064  parenleftinferior
A 0x00441076  parenrightinferior
A 0x00441099  hyphensuperior
A 0x00441169  colonmonetary
A 0x00441177  onefitted
A 0x00441181  rupiah
A 0x00441193  exclamdownsmall
A 0x004411a3  centoldstyle
A 0x00441213  figuredash
A 0x0044121e  hypheninferior
A 0x00441250  questiondownsmall
A 0x00441262  oneeighth
A 0x0044126c  threeeighths
A 0x00441279  fiveeighths
A 0x00441285  seveneighths
A 0x00441292  onethird
A 0x0044129b  twothirds
A 0x004412a5  zerosuperior
A 0x004412b2  foursuperior
